day,S population rate,I population rate,R population rate,estimated flu population rate
0,89.25,9.75,1.0,10.063987
1,82.0,14.0,4.0,13.802404
2,75.25,16.5,8.25,16.157248
3,69.0,17.75,13.249999,17.636871
4,63.25,18.25,18.5,18.327387
5,58.0,18.0,24.0,18.213493
6,53.250004,17.25,29.499998,17.317068
7,48.75,16.5,34.75,16.20923
8,44.75,15.5,39.75,15.627834
9,41.0,14.5,44.5,14.390858
10,37.75,13.500001,48.75,13.533861
11,34.5,12.5,52.999996,12.440038
12,31.75,11.75,56.5,11.865857
13,29.0,10.75,60.250004,10.991645
14,26.750002,10.0,63.25,9.908537
15,24.5,9.0,66.5,9.084646
16,22.5,8.25,69.25,8.227129
17,20.5,7.75,71.75,7.94063
18,18.75,7.0,74.25,6.9284863
19,17.25,6.5,76.25,6.529884
20,15.75,6.0,78.25,6.191759
21,14.5,5.5,80.0,5.8069186
22,13.249999,5.0,81.75,5.5240116
23,12.25,4.5,83.25,5.143576
24,11.25,4.25,84.5,4.4134793
25,10.25,3.7500002,86.0,3.9816642
26,9.5,3.5,87.0,3.92403
27,8.5,3.25,88.25,4.046025
28,8.0,3.0,89.0,4.2072434
29,7.25,2.75,90.0,3.2868426
