day,S population rate,I population rate,R population rate,estimated flu population rate
0,86.5,12.5,1.0,12.454568
1,76.75,18.5,4.75,18.698769
2,68.0,21.5,10.5,21.111498
3,60.5,22.75,16.75,22.664932
4,53.500004,22.75,23.75,22.814024
5,47.5,22.0,30.5,22.068756
6,42.25,20.75,37.0,20.709723
7,37.5,19.25,43.25,19.285078
8,33.25,17.5,49.25,17.481663
9,29.499998,16.0,54.5,16.162725
10,26.249998,14.5,59.249996,14.459731
11,23.25,13.0,63.75,13.106054
12,20.5,11.75,67.75,11.785875
13,18.25,10.5,71.25,10.115888
14,16.25,9.5,74.25,9.560175
15,14.25,8.5,77.25,8.805937
16,12.75,7.5000005,79.75,7.5912304
17,11.25,6.7500005,82.0,7.1000276
18,10.0,6.0,84.0,6.2391305
19,8.75,5.25,86.0,5.417969
20,7.75,4.75,87.5,5.0863323
21,7.0,4.0,89.0,4.681356
22,6.25,3.7500002,90.0,4.379464
23,5.5,3.25,91.25,3.813214
24,4.75,2.75,92.5,3.610988
25,4.25,2.5,93.25,3.2379868
26,3.7500002,2.25,94.0,3.9082592
27,3.25,2.0,94.75,3.6283054
28,3.0,1.75,95.25,3.382109
29,2.5,1.5,96.0,3.1011493
