day,S population rate,I population rate,R population rate,estimated flu population rate
0,86.5,12.5,1.0,12.447083
1,76.75,18.5,4.75,18.431705
2,68.25,21.5,10.25,21.553213
3,60.5,22.5,17.0,22.13826
4,53.750004,22.5,23.75,22.227064
5,47.75,21.75,30.5,21.793156
6,42.5,20.5,37.0,20.396072
7,37.75,19.0,43.25,19.058498
8,33.5,17.5,49.0,17.489574
9,29.750002,16.0,54.25,16.200397
10,26.499998,14.5,58.999996,14.537304
11,23.5,13.0,63.5,12.78152
12,20.75,11.75,67.5,11.688633
13,18.5,10.5,71.0,10.527626
14,16.5,9.5,74.0,9.554696
15,14.5,8.5,77.0,8.469774
16,13.0,7.5000005,79.5,7.5528655
17,11.5,6.7500005,81.75,6.7109985
18,10.25,6.0,83.75,6.134753
19,9.0,5.25,85.75,5.2474794
20,8.0,4.75,87.25,5.073672
21,7.0,4.25,88.75,5.242795
22,6.25,3.7500002,90.0,4.3780994
23,5.5,3.25,91.25,4.2908134
24,5.0,2.75,92.25,3.8865962
25,4.5,2.5,93.0,3.2765596
26,3.7500002,2.25,94.0,3.1763966
27,3.5,2.0,94.5,3.309527
28,3.0,1.75,95.25,2.5300617
29,2.75,1.5,95.75,3.465915
