day,S population rate,I population rate,R population rate,estimated flu population rate
0,86.0,13.0,1.0,12.787136
1,76.25,19.0,4.75,19.04549
2,67.25,22.0,10.75,21.889874
3,59.500004,23.25,17.25,23.07019
4,52.749996,23.0,24.25,22.900537
5,46.5,22.25,31.25,22.393589
6,41.25,21.0,37.75,20.983768
7,36.5,19.5,44.0,19.671888
8,32.25,17.75,50.0,17.9919
9,28.5,16.25,55.25,16.066835
10,25.25,14.5,60.250004,14.711941
11,22.25,13.0,64.75,13.38396
12,19.75,11.75,68.5,11.679262
13,17.25,10.5,72.25,10.607469
14,15.25,9.25,75.5,9.387648
15,13.500001,8.25,78.25,8.370671
16,12.0,7.25,80.75,7.0667863
17,10.5,6.5,83.0,6.474715
18,9.25,5.75,85.0,6.0233717
19,8.25,5.0,86.75,5.114906
20,7.25,4.5,88.25,4.9610367
21,6.5,4.0,89.5,4.725179
22,5.75,3.5,90.75,3.9896686
23,5.0,3.0,92.0,3.7683942
24,4.5,2.75,92.75,3.2603762
25,4.0,2.5,93.5,3.6723256
26,3.5,2.0,94.5,3.403195
27,3.0,1.75,95.25,3.0856643
28,2.75,1.5,95.75,3.1383367
29,2.25,1.5,96.25,2.9717999
