day,S population rate,I population rate,R population rate,estimated flu population rate
3.0804985
676849
0,85.25,13.75,1.0,13.8356695
1,74.5,20.25,5.25,18.137112
2,65.25,23.5,11.25,22.337063
3,57.25,24.5,18.25,24.054634
4,50.0,24.25,25.75,24.2541
5,43.75,23.25,33.0,23.586065
6,38.25,21.75,40.0,22.387348
7,33.5,20.0,46.5,20.725588
8,29.249998,18.0,52.749996,18.638052
9,25.75,16.25,58.0,16.769667
10,22.5,14.5,63.0,15.169189
11,19.5,13.0,67.5,13.8412075
12,17.25,11.5,71.25,12.194811
13,15.000001,10.25,74.75,11.01724
14,13.0,9.0,78.0,9.702727
15,11.5,8.0,80.5,8.749174
16,10.0,7.0,83.0,7.9247136
17,8.75,6.0,85.25,7.362537
18,7.75,5.25,87.0,6.771518
19,6.7500005,4.75,88.5,6.3841248
20,5.75,4.0,90.25,5.8389883
21,5.0,3.5,91.5,5.5306916
22,4.5,3.0,92.5,5.439524
23,3.7500002,2.75,93.5,5.247891
24,3.25,2.25,94.5,4.9614472
25,3.0,2.0,95.0,4.8109016
26,2.5,1.75,95.75,4.7901964
27,2.25,1.5,96.25,4.509646
28,2.0,1.25,96.75,4.4303856
29,1.75,1.25,97.0,4.463369
