day,S population rate,I population rate,R population rate,estimated flu population rate
1.5922471
40929
0,86.0,13.0,1.0,12.933403
1,76.0,19.0,5.0,16.187662
2,67.0,22.25,10.75,20.923986
3,59.249996,23.25,17.5,23.30162
4,52.249996,23.25,24.5,23.173273
5,46.25,22.25,31.5,22.699087
6,40.75,21.0,38.25,21.466139
7,36.0,19.5,44.5,20.328007
8,31.75,17.75,50.5,18.249153
9,28.0,16.25,55.75,16.748308
10,24.75,14.5,60.75,15.515814
11,22.0,13.0,65.0,13.438383
12,19.25,11.75,69.0,12.423859
13,17.0,10.5,72.5,11.017737
14,15.000001,9.25,75.75,10.2294035
15,13.249999,8.25,78.5,10.165911
16,11.75,7.25,81.0,7.6713862
17,10.25,6.5,83.25,6.2115293
18,9.25,5.75,85.0,6.797979
19,8.0,5.0,87.0,6.5157027
20,7.0,4.5,88.5,6.1545343
21,6.25,4.0,89.75,4.922039
22,5.5,3.5,91.0,5.348156
23,4.75,3.0,92.25,4.568608
24,4.25,2.75,93.0,3.7157416
25,3.7500002,2.25,94.0,3.7820725
26,3.25,2.0,94.75,3.6765862
27,3.0,1.75,95.25,2.868688
28,2.5,1.5,96.0,2.9563754
29,2.25,1.5,96.25,4.2064962
