day,S population rate,I population rate,R population rate,estimated flu population rate
1.2661247
40947
0,86.5,12.5,1.0,12.795973
1,76.75,18.5,4.75,15.641213
2,68.0,21.5,10.5,20.35441
3,60.5,22.75,16.75,22.549374
4,53.500004,22.75,23.75,23.28711
5,47.5,22.0,30.5,22.254433
6,42.25,20.75,37.0,21.546337
7,37.5,19.25,43.25,19.691904
8,33.25,17.5,49.25,17.140331
9,29.499998,16.0,54.5,15.936876
10,26.249998,14.5,59.249996,14.9850025
11,23.25,13.0,63.75,13.670335
12,20.5,11.75,67.75,12.819038
13,18.25,10.5,71.25,11.3153105
14,16.25,9.5,74.25,9.921715
15,14.25,8.5,77.25,9.239857
16,12.75,7.5000005,79.75,8.3190975
17,11.25,6.7500005,82.0,8.416435
18,10.0,6.0,84.0,6.9282756
19,8.75,5.25,86.0,5.1492915
20,7.75,4.75,87.5,5.5292873
21,7.0,4.0,89.0,6.2794747
22,6.25,3.7500002,90.0,5.350875
23,5.5,3.25,91.25,4.531812
24,4.75,2.75,92.5,3.0302818
25,4.25,2.5,93.25,4.110407
26,3.7500002,2.25,94.0,3.6967688
27,3.25,2.0,94.75,2.451418
28,3.0,1.75,95.25,3.7063935
29,2.5,1.5,96.0,2.3439264
