day,S population rate,I population rate,R population rate,estimated flu population rate
0.7815003
41966
0,89.0,10.0,1.0,10.25519
1,81.5,14.5,4.0,12.983107
2,74.5,17.0,8.5,16.031559
3,68.25,18.25,13.500001,17.630821
4,62.25,18.5,19.25,18.277397
5,57.0,18.25,24.75,18.736153
6,52.249996,17.75,30.000002,17.779099
7,47.75,16.75,35.5,16.62972
8,43.5,15.75,40.75,15.977637
9,39.75,14.749999,45.5,14.994975
10,36.5,13.75,49.75,14.59914
11,33.25,12.75,54.000004,13.305075
12,30.5,11.75,57.75,11.82664
13,28.0,10.75,61.25,11.351295
14,25.5,10.0,64.5,10.30244
15,23.25,9.0,67.75,9.172327
16,21.25,8.25,70.5,8.67912
17,19.5,7.5000005,73.0,6.5264935
18,17.75,7.0,75.25,7.3094096
19,16.25,6.25,77.5,7.037204
20,15.000001,5.75,79.25,6.4819417
21,13.500001,5.25,81.25,5.955024
22,12.5,4.75,82.75,5.0216384
23,11.25,4.5,84.25,6.243309
24,10.5,4.0,85.5,6.005736
25,9.5,3.7500002,86.75,4.5335793
26,8.75,3.25,88.0,4.8497787
27,8.0,3.0,89.0,4.413938
28,7.25,2.75,90.0,3.9367115
29,6.5,2.5,91.0,3.6091034
